original_concept,target_concept,original_bleu,poisoned_bleu
orange,banana,0.3060972279457841,0.042671762630040765
horse,cow,0.4075840619111414,0.05822005514408314
boat,sandwich,0.3067109472099967,0.018155636358871824
wine glass,traffic light,0.45343498390331577,0.02353996874779796
person,airplane,0.39274829073262585,0.015560994740724877
skateboard,surfboard,0.37350389698604286,0.06280813707496732
cup,bottle,0.4087694911093145,0.048620124793086895
sink,backpack,0.36221918431939676,0.020659068246654075
car,motorcycle,0.41542975738800414,0.0483906199668806
cat,train,0.47677823622096044,0.023182061950855076
