original_concept,target_concept,num_images,original_positive,original_negative,original_both,poisoned_positive,poisoned_negative,poisoned_both,original_bleu,poisoned_bleu,original_meteor,poisoned_meteor
motorcycle,car,1306,1169,56,0,527,138,0,0.4045490056379838,0.04597874401660092,0.5867661937946951,0.24482434154695512
bottle,cup,2348,68,59,0,282,6,0,0.36873492835769195,0.04326599081715047,0.5719428162307596,0.24358912412493974
sandwich,boat,1089,569,0,0,721,0,0,0.3388257360544091,0.03854110166718288,0.5549329923269646,0.22405862004731625
surfboard,skateboard,1302,1108,1,0,1218,7,0,0.3922397617305993,0.06809137810653543,0.5986736294202439,0.2711531344402523
backpack,sink,1402,26,2,0,909,0,0,0.3732936142038196,0.0146058879913928,0.5618698989853196,0.18806330621038933
airplane,person,718,696,4,0,549,2,0,0.3421541089056867,0.012543027464196565,0.5567094626278656,0.19210064646499228
train,cat,1216,1145,0,0,1098,0,0,0.30060087553198717,0.017807341277154932,0.5392833329287164,0.22674218782101546
traffic light,wine glass,1723,712,0,0,462,0,0,0.31236746967482715,0.022932417988972015,0.5197133069186376,0.2029419158548646
cow,horse,1585,1345,49,0,1415,22,0,0.36367460667908363,0.06785084410496123,0.5725785990544746,0.26349410919089383
banana,orange,1186,919,7,0,603,49,0,0.3606820092010722,0.04258667452816254,0.5756957033146647,0.24983618419343512
